"unigram","bigram","freq"
"of","new",54
"one","in",54
"people","in",54
"started","to",54
"the","future",54
"the","water",54
"through","a",54
"was","also",54
"you","might",54
"a","chance",53
"a","number",53
"a","person",53
"and","are",53
"and","be",53
"are","also",53
"felt","like",53
"for","one",53
"from","his",53
"its","own",53
"of","me",53
"sure","to",53
"that","when",53
"the","national",53
"this","point",53
"to","bring",53
"to","save",53
"to","watch",53
"we","did",53
"were","the",53
"where","we",53
"year","and",53
"am","a",52
"and","do",52
"at","pm",52
"at","that",52
"be","an",52
"be","more",52
"deal","with",52
"good","and",52
"i","tried",52
"is","on",52
"is","only",52
"is","this",52
"it","also",52
"its","just",52
"made","me",52
"off","to",52
"pretty","much",52
"ready","for",52
"see","how",52
"see","that",52
"something","to",52
"tell","me",52
"that","his",52
"the","church",52
"the","north",52
"the","process",52
"thing","that",52
"to","just",52
"to","run",52
"use","of",52
"very","good",52
"was","really",52
"what","to",52
"why","i",52
"will","get",52
"a","child",51
"at","first",51
"attempt","to",51
"can","you",51
"figure","out",51
"for","another",51
"hope","you",51
"life","is",51
"living","in",51
"makes","me",51
"my","friend",51
"not","so",51
"place","in",51
"story","of",51
"terms","of",51
"that","way",51
"the","air",51
"the","number",51
"the","season",51
"to","feel",51
"to","not",51
"to","talk",51
"took","the",51
"a","single",50
"all","in",50
"an","hour",50
"and","most",50
"each","of",50
"every","time",50
"far","as",50
"few","weeks",50
"has","the",50
"her","and",50
"i","wouldnt",50
"is","actually",50
"it","may",50
"more","and",50
"next","to",50
"of","him",50
"of","one",50
"over","to",50
"percent","of",50
"plenty","of",50
"put","on",50
"see","it",50
"the","point",50
"the","real",50
"the","team",50
"them","all",50
"things","i",50
"thousands","of",50
"time","with",50
"to","hold",50
"to","set",50
"to","turn",50
"until","i",50
"up","at",50
"version","of",50
"was","still",50
"add","the",49
"all","this",49
"an","old",49
"began","to",49
"didnt","know",49
"family","and",49
"find","the",49
"have","never",49
"him","in",49
"home","and",49
"in","with",49
"it","took",49
"looks","like",49
"on","an",49
"one","is",49
"or","so",49
"see","a",49
"she","would",49
"so","they",49
"that","im",49
"that","means",49
"the","place",49
"think","its",49
"were","all",49
"with","one",49
"without","a",49
"work","and",49
"your","life",49
"and","an",48
"any","other",48
"back","of",48
"be","sure",48
"dont","like",48
"focus","on",48
"i","told",48
"it","might",48
"ive","had",48
"let","the",48
"my","mom",48
"no","idea",48
"not","that",48
"of","other",48
"one","and",48
"outside","the",48
"right","to",48
"said","to",48
"to","meet",48
"to","one",48
"to","sit",48
"was","my",48
"we","should",48
"with","no",48
"without","the",48
"years","and",48
"a","certain",47
"a","part",47
"a","special",47
"and","thats",47
"days","of",47
"give","it",47
"give","you",47
"go","back",47
"he","can",47
"her","own",47
"how","it",47
"i","must",47
"important","to",47
"it","so",47
"means","that",47
"my","blog",47
"need","a",47
"on","top",47
"pair","of",47
"people","and",47
"picked","up",47
"put","it",47
"say","the",47
"the","answer",47
"the","list",47
"the","police",47
"the","question",47
"the","third",47
"the","uk",47
"we","want",47
"we","went",47
"a","beautiful",46
"a","place",46
"about","my",46
"and","were",46
"are","very",46
"as","one",46
"called","the",46
"from","this",46
"happy","to",46
"here","i",46
"how","we",46
"i","look",46
"i","loved",46
"i","wonder",46
"is","good",46
"its","like",46
"look","like",46
"my","parents",46
"someone","who",46
"tend","to",46
"thats","a",46
"the","early",46
"the","news",46
"the","phone",46
"these","days",46
"to","believe",46
"to","spend",46
"to","those",46
"two","years",46
"you","that",46
"all","about",45
"am","i",45
"and","can",45
"as","far",45
"because","we",45
"behind","the",45
"didnt","want",45
"food","and",45
"for","minutes",45
"found","a",45
"have","seen",45
"he","will",45
"house","and",45
"if","not",45
"involved","in",45
"long","time",45
"member","of",45
"none","of",45
"nothing","to",45
"on","what",45
"only","to",45
"onto","the",45
"place","to",45
"seemed","to",45
"some","time",45
"that","and",45
"the","biggest",45
"the","center",45
"the","summer",45
"they","could",45
"this","way",45
"though","the",45
"to","avoid",45
"told","the",45
"variety","of",45
"was","at",45
"were","in",45
"which","the",45
"work","on",45
"you","in",45
"a","bad",44
"a","family",44
"a","quick",44
"but","to",44
"despite","the",44
"filled","with",44
"have","not",44
"i","bought",44
"i","needed",44
"i","remember",44
"is","why",44
"it","be",44
"ive","got",44
"likely","to",44
"me","but",44
"much","to",44
"on","how",44
"on","its",44
"on","one",44
"that","as",44
"that","had",44
"that","time",44
"the","food",44
"the","music",44
"the","president",44
"the","table",44
"ways","to",44
"what","happened",44
"where","they",44
"where","you",44
"work","in",44
"also","the",43
"be","used",43
"can","only",43
"get","it",43
"have","done",43
"he","also",43
"in","terms",43
"is","at",43
"let","us",43
"life","i",43
"looked","at",43
"not","really",43
"of","some",43
"our","own",43
"realize","that",43
"that","of",43
"that","people",43
"the","earth",43
"the","event",43
"the","opportunity",43
"the","person",43
"the","series",43
"the","side",43
"think","the",43
"this","month",43
"this","weekend",43
"those","of",43
"to","build",43
"to","school",43
"too","many",43
"two","of",43
"way","that",43
"year","old",43
"yes","i",43
"a","half",42
"a","story",42
"and","still",42
"at","me",42
"at","some",42
"come","up",42
"get","back",42
"half","of",42
"have","made",42
"history","of",42
"i","learned",42
"i","may",42
"i","wont",42
"in","there",42
"it","takes",42
"me","with",42
"must","have",42
"my","eyes",42
"of","work",42
"on","them",42
"point","of",42
"put","the",42
"so","he",42
"so","what",42
"the","blog",42
"the","body",42
"the","kitchen",42
"the","thing",42
"the","worlds",42
"this","and",42
"to","provide",42
"to","speak",42
"we","get",42
"where","he",42
"who","will",42
"with","us",42
"would","you",42
"a","pair",41
"a","young",41
"about","minutes",41
"after","that",41
"all","my",41
"all","these",41
"and","put",41
"before","you",41
"bunch","of",41
"come","back",41
"compared","to",41
"few","months",41
"for","about",41
"i","came",41
"i","wrote",41
"if","she",41
"in","other",41
"is","something",41
"is","there",41
"just","one",41
"left","the",41
"making","a",41
"me","for",41
"my","son",41
"near","the",41
"people","of",41
"pictures","of",41
"plan","to",41
"proud","of",41
"read","the",41
"said","in",41
"social","media",41
"the","author",41
"the","hospital",41
"the","life",41
"the","price",41
"the","week",41
"them","the",41
"this","i",41
"to","love",41
"to","support",41
"use","a",41
"using","a",41
"wait","to",41
"was","able",41
"was","all",41
"will","never",41
"you","the",41
"ago","i",40
"at","one",40
"be","on",40
"been","in",40
"did","a",40
"expected","to",40
"go","on",40
"he","and",40
"his","wife",40
"i","try",40
"in","love",40
"in","many",40
"in","mind",40
"it","should",40
"lead","to",40
"looking","forward",40
"name","of",40
"never","been",40
"next","time",40
"not","as",40
"not","even",40
"on","saturday",40
"one","i",40
"out","what",40
"parts","of",40
"say","i",40
"saying","that",40
"that","doesnt",40
"thats","not",40
"the","group",40
"the","heart",40
"theres","no",40
"they","want",40
"thing","to",40
"to","check",40
"to","some",40
"trip","to",40
"turned","out",40
"use","it",40
"was","born",40
"what","are",40
"you","a",40
"a","full",39
"a","girl",39
"a","picture",39
"again","and",39
"an","interesting",39
"and","many",39
"at","her",39
"at","his",39
"cant","wait",39
"come","on",39
"come","out",39
"could","do",39
"day","in",39
"desire","to",39
"dont","get",39
"enjoy","the",39
"find","out",39
"good","for",39
"hit","the",39
"hundreds","of",39
"i","asked",39
"in","place",39
"is","as",39
"kinds","of",39
"level","of",39
"make","up",39
"no","more",39
"now","the",39
"one","who",39
"only","the",39
"see","if",39
"so","im",39
"something","i",39
"sure","that",39
"that","makes",39
"that","might",39
"the","law",39
"the","need",39
"the","ones",39
"the","weekend",39
"them","for",39
"them","out",39
"three","years",39
"to","and",39
"weeks","ago",39
"which","are",39
"with","its",39
"with","our",39
"a","major",38
"a","minute",38
"allowed","to",38
"and","am",38
"and","others",38
"and","over",38
"and","people",38
"and","yet",38
"are","just",38
"as","many",38
"being","the",38
"both","of",38
"but","at",38
"but","with",38
"difficult","to",38
"do","is",38
"from","her",38
"from","our",38
"given","the",38
"had","an",38
"happened","to",38
"has","become",38
"his","first",38
"i","put",38
"including","the",38
"is","like",38
"is","really",38
"it","could",38
"it","looks",38
"it","really",38
"just","have",38
"make","me",38
"many","times",38
"some","people",38
"talking","to",38
"thanks","for",38
"the","challenge",38
"the","current",38
"the","federal",38
"the","garden",38
"the","south",38
"the","words",38
"their","lives",38
"these","things",38
"they","did",38
"thing","is",38
"things","to",38
"to","pick",38
"up","my",38
"when","a",38
"who","were",38
"work","with",38
"a","hard",37
"a","result",37
"addition","to",37
"anyone","who",37
"attention","to",37
"because","she",37
"but","she",37
"comes","from",37
"does","it",37
"down","on",37
"enough","for",37
"exactly","what",37
"find","it",37
"form","of",37
"get","out",37
"god","and",37
"him","a",37
"hope","to",37
"i","wish",37
"if","there",37
"im","just",37
"is","being",37
"like","you",37
"me","of",37
"most","people",37
"my","new",37
"picture","of",37
"series","of",37
"set","of",37
"that","our",37
"the","bible",37
"the","cake",37
"the","girls",37
"the","line",37
"the","opposite",37
"the","project",37
"the","race",37
"the","title",37
"the","west",37
"the","woman",37
"them","as",37
"then","we",37
"this","will",37
"to","begin",37
"to","cut",37
"up","i",37
"very","well",37
"we","also",37
"were","so",37
"were","to",37
"which","has",37
"who","can",37
"who","i",37
"will","do",37
"worry","about",37
"a","fun",36
"a","local",36
"a","piece",36
"a","sense",36
"although","i",36
"always","been",36
"and","ive",36
"are","now",36
"but","now",36
"can","find",36
"did","it",36
"down","in",36
"excited","to",36
"feel","the",36
"followed","by",36
"for","everyone",36
"from","that",36
"god","is",36
"good","thing",36
"good","to",36
"had","never",36
"having","to",36
"how","do",36
"however","i",36
"however","the",36
"i","write",36
"in","life",36
"it","feels",36
"it","from",36
"its","all",36
"know","if",36
"lived","in",36
"majority","of",36
"matter","how",36
"next","day",36
"no","doubt",36
"no","way",36
"not","know",36
"one","or",36
"other","things",36
"person","who",36
"really","good",36
"remember","the",36
"result","of",36
"said","she",36
"san","francisco",36
"so","if",36
"the","age",36
"the","area",36
"the","dark",36
"the","former",36
"the","light",36
"the","money",36
"the","situation",36
"the","three",36
"the","wall",36
"the","wrong",36
"they","may",36
"things","in",36
"this","has",36
"thought","of",36
"time","the",36
"to","finish",36
"to","grow",36
"to","visit",36
"two","weeks",36
"used","in",36
"when","im",36
"will","also",36
"you","go",36
"you","must",36
"a","car",35
"a","movie",35
"a","problem",35
"above","the",35
"access","to",35
"and","made",35
"any","more",35
"as","my",35
"ask","for",35
"at","times",35
"aware","of",35
"both","the",35
"can","also",35
"closer","to",35
"do","what",35
"for","many",35
"for","now",35
"fun","and",35
"has","not",35
"how","they",35
"i","go",35
"i","realized",35
"i","suppose",35
"id","like",35
"in","for",35
"is","quite",35
"is","your",35
"it","did",35
"it","didnt",35
"it","into",35
"it","off",35
"ive","never",35
"listening","to",35
"los","angeles",35
"matter","what",35
"me","as",35
"me","it",35
"more","i",35
"more","to",35
"my","house",35
"next","week",35
"of","each",35
"of","water",35
"off","and",35
"only","be",35
"or","more",35
"out","i",35
"out","my",35
"power","of",35
"so","its",35
"start","to",35
"starting","to",35
"still","be",35
"that","ive",35
"that","no",35
"the","face",35
"the","kind",35
"the","market",35
"the","media",35
"the","park",35
"the","worst",35
"them","on",35
"things","are",35
"this","season",35
"time","it",35
"to","continue",35
"to","join",35
"wait","for",35
"was","more",35
"was","pretty",35
"water","and",35
"we","must",35
"week","and",35
"week","i",35
"what","would",35
"will","take",35
"world","and",35
"a","call",34
"a","high",34
"a","variety",34
"about","that",34
"age","of",34
"all","but",34
"and","go",34
"and","two",34
"as","in",34
"back","into",34
"came","from",34
"can","have",34
"can","i",34
"case","of",34
"depending","on",34
"for","what",34
"free","to",34
"from","one",34
"get","in",34
"go","and",34
"had","my",34
"have","it",34
"hours","of",34
"if","that",34
"in","case",34
"interest","in",34
"is","always",34
"it","it",34
"keep","the",34
"let","it",34
"like","my",34
"little","more",34
